,chain,timestamp,act.addr.cnt,metric_name,value
166,BTC,1634947200000,0,act.addr.cnt,826969.0
167,BTC,1635033600000,0,act.addr.cnt,737951.0
168,BTC,1635120000000,0,act.addr.cnt,1079523.0
169,BTC,1635206400000,0,act.addr.cnt,998333.0
170,BTC,1635292800000,0,act.addr.cnt,944035.0
171,BTC,1635379200000,0,act.addr.cnt,1055114.0
172,BTC,1635465600000,0,act.addr.cnt,1014855.0
173,BTC,1635552000000,0,act.addr.cnt,906672.0
174,BTC,1635638400000,0,act.addr.cnt,893617.0
175,BTC,1635724800000,0,act.addr.cnt,1053426.0
176,BTC,1635811200000,0,act.addr.cnt,1035030.0
177,BTC,1635897600000,0,act.addr.cnt,1069212.0
178,BTC,1635984000000,0,act.addr.cnt,998917.0
179,BTC,1636070400000,0,act.addr.cnt,1037437.0
180,BTC,1636156800000,0,act.addr.cnt,825483.0
181,BTC,1636243200000,0,act.addr.cnt,826432.0
182,BTC,1636329600000,0,act.addr.cnt,1018796.0
183,BTC,1636416000000,0,act.addr.cnt,1195638.0
184,BTC,1636502400000,0,act.addr.cnt,1022756.0
185,BTC,1636588800000,0,act.addr.cnt,1037951.0
186,BTC,1636675200000,0,act.addr.cnt,975353.0
187,BTC,1636761600000,0,act.addr.cnt,828248.0
188,BTC,1636848000000,0,act.addr.cnt,806451.0
189,BTC,1636934400000,0,act.addr.cnt,1083387.0
190,BTC,1637020800000,0,act.addr.cnt,1030573.0
191,BTC,1637107200000,0,act.addr.cnt,993545.0
192,BTC,1637193600000,0,act.addr.cnt,990087.0
193,BTC,1637280000000,0,act.addr.cnt,976682.0
194,BTC,1637366400000,0,act.addr.cnt,848464.0
195,BTC,1637452800000,0,act.addr.cnt,842004.0
196,BTC,1637539200000,0,act.addr.cnt,947435.0
197,BTC,1637625600000,0,act.addr.cnt,909010.0
198,BTC,1637712000000,0,act.addr.cnt,1071921.0
199,BTC,1637798400000,0,act.addr.cnt,973237.0
200,BTC,1637884800000,0,act.addr.cnt,996141.0
201,BTC,1637971200000,0,act.addr.cnt,777970.0
202,BTC,1638057600000,0,act.addr.cnt,816560.0
203,BTC,1638144000000,0,act.addr.cnt,993217.0
204,BTC,1638230400000,0,act.addr.cnt,977183.0
205,BTC,1638316800000,0,act.addr.cnt,1057704.0
206,BTC,1638403200000,0,act.addr.cnt,1184757.0
207,BTC,1638489600000,0,act.addr.cnt,1010596.0
208,BTC,1638576000000,0,act.addr.cnt,961294.0
209,BTC,1638662400000,0,act.addr.cnt,978899.0
210,BTC,1638748800000,0,act.addr.cnt,1078373.0
211,BTC,1638835200000,0,act.addr.cnt,983177.0
212,BTC,1638921600000,0,act.addr.cnt,927369.0
213,BTC,1639008000000,0,act.addr.cnt,1123743.0
214,BTC,1639094400000,0,act.addr.cnt,930831.0
215,BTC,1639180800000,0,act.addr.cnt,805461.0
216,BTC,1639267200000,0,act.addr.cnt,725043.0
217,BTC,1639353600000,0,act.addr.cnt,996713.0
218,BTC,1639440000000,0,act.addr.cnt,966596.0
219,BTC,1639526400000,0,act.addr.cnt,1058257.0
220,BTC,1639612800000,0,act.addr.cnt,873836.0
221,BTC,1639699200000,0,act.addr.cnt,979005.0
222,BTC,1639785600000,0,act.addr.cnt,855978.0
223,BTC,1639872000000,0,act.addr.cnt,755797.0
224,BTC,1639958400000,0,act.addr.cnt,1015255.0
225,BTC,1640044800000,0,act.addr.cnt,1009227.0
226,BTC,1640131200000,0,act.addr.cnt,992589.0
227,BTC,1640217600000,0,act.addr.cnt,991240.0
228,BTC,1640304000000,0,act.addr.cnt,974212.0
229,BTC,1640390400000,0,act.addr.cnt,866151.0
230,BTC,1640476800000,0,act.addr.cnt,774902.0
231,BTC,1640563200000,0,act.addr.cnt,992531.0
232,BTC,1640649600000,0,act.addr.cnt,1051572.0
233,BTC,1640736000000,0,act.addr.cnt,1142870.0
234,BTC,1640822400000,0,act.addr.cnt,977727.0
235,BTC,1640908800000,0,act.addr.cnt,1093396.0
236,BTC,1640995200000,0,act.addr.cnt,695722.0
237,BTC,1641081600000,0,act.addr.cnt,734444.0
238,BTC,1641168000000,0,act.addr.cnt,948843.0
239,BTC,1641254400000,0,act.addr.cnt,971141.0
240,BTC,1641340800000,0,act.addr.cnt,1023484.0
241,BTC,1641427200000,0,act.addr.cnt,937879.0
242,BTC,1641513600000,0,act.addr.cnt,961733.0
243,BTC,1641600000000,0,act.addr.cnt,823193.0
244,BTC,1641686400000,0,act.addr.cnt,734904.0
