,chain,timestamp,metric_name,value
189,BTC,1636934400000,act.addr.cnt,1083387
190,BTC,1637020800000,act.addr.cnt,1030573
191,BTC,1637107200000,act.addr.cnt,993545
192,BTC,1637193600000,act.addr.cnt,990087
193,BTC,1637280000000,act.addr.cnt,976682
194,BTC,1637366400000,act.addr.cnt,848464
195,BTC,1637452800000,act.addr.cnt,842004
196,BTC,1637539200000,act.addr.cnt,947435
197,BTC,1637625600000,act.addr.cnt,909010
198,BTC,1637712000000,act.addr.cnt,1071921
199,BTC,1637798400000,act.addr.cnt,973237
200,BTC,1637884800000,act.addr.cnt,996141
201,BTC,1637971200000,act.addr.cnt,777970
202,BTC,1638057600000,act.addr.cnt,816560
203,BTC,1638144000000,act.addr.cnt,993217
204,BTC,1638230400000,act.addr.cnt,977183
205,BTC,1638316800000,act.addr.cnt,1057704
206,BTC,1638403200000,act.addr.cnt,1184757
207,BTC,1638489600000,act.addr.cnt,1010596
208,BTC,1638576000000,act.addr.cnt,961294
209,BTC,1638662400000,act.addr.cnt,978899
210,BTC,1638748800000,act.addr.cnt,1078373
211,BTC,1638835200000,act.addr.cnt,983177
212,BTC,1638921600000,act.addr.cnt,927369
213,BTC,1639008000000,act.addr.cnt,1123743
214,BTC,1639094400000,act.addr.cnt,930831
215,BTC,1639180800000,act.addr.cnt,805461
216,BTC,1639267200000,act.addr.cnt,725043
217,BTC,1639353600000,act.addr.cnt,996713
218,BTC,1639440000000,act.addr.cnt,966596
219,BTC,1639526400000,act.addr.cnt,1058257
220,BTC,1639612800000,act.addr.cnt,873836
221,BTC,1639699200000,act.addr.cnt,979005
222,BTC,1639785600000,act.addr.cnt,855978
223,BTC,1639872000000,act.addr.cnt,755797
224,BTC,1639958400000,act.addr.cnt,1015255
225,BTC,1640044800000,act.addr.cnt,1009227
226,BTC,1640131200000,act.addr.cnt,992589
227,BTC,1640217600000,act.addr.cnt,991240
228,BTC,1640304000000,act.addr.cnt,974212
229,BTC,1640390400000,act.addr.cnt,866151
230,BTC,1640476800000,act.addr.cnt,774902
231,BTC,1640563200000,act.addr.cnt,992531
232,BTC,1640649600000,act.addr.cnt,1051572
233,BTC,1640736000000,act.addr.cnt,1142870
234,BTC,1640822400000,act.addr.cnt,977727
235,BTC,1640908800000,act.addr.cnt,1093396
236,BTC,1640995200000,act.addr.cnt,695722
237,BTC,1641081600000,act.addr.cnt,734444
238,BTC,1641168000000,act.addr.cnt,948843
239,BTC,1641254400000,act.addr.cnt,971141
240,BTC,1641340800000,act.addr.cnt,1023484
241,BTC,1641427200000,act.addr.cnt,937879
242,BTC,1641513600000,act.addr.cnt,961733
243,BTC,1641600000000,act.addr.cnt,823193
244,BTC,1641686400000,act.addr.cnt,734904
245,BTC,1641772800000,act.addr.cnt,977953
246,BTC,1641859200000,act.addr.cnt,973363
247,BTC,1641945600000,act.addr.cnt,958871
248,BTC,1642032000000,act.addr.cnt,943218
249,BTC,1642118400000,act.addr.cnt,959705
250,BTC,1642204800000,act.addr.cnt,819060
251,BTC,1642291200000,act.addr.cnt,768912
252,BTC,1642377600000,act.addr.cnt,963405
253,BTC,1642464000000,act.addr.cnt,906852
254,BTC,1642550400000,act.addr.cnt,940760
255,ETH,1620604800000,act.addr.cnt,857448
256,ETH,1620691200000,act.addr.cnt,868387
257,ETH,1620777600000,act.addr.cnt,842506
258,ETH,1620864000000,act.addr.cnt,883375
259,ETH,1620950400000,act.addr.cnt,809164
260,ETH,1621036800000,act.addr.cnt,771604
261,ETH,1621123200000,act.addr.cnt,749768
262,ETH,1621209600000,act.addr.cnt,729765
263,ETH,1621296000000,act.addr.cnt,690475
264,ETH,1621382400000,act.addr.cnt,795909
265,ETH,1621468800000,act.addr.cnt,766729
266,ETH,1621555200000,act.addr.cnt,700299
267,ETH,1621641600000,act.addr.cnt,689227
268,ETH,1621728000000,act.addr.cnt,753755
269,ETH,1621814400000,act.addr.cnt,696056
270,ETH,1621900800000,act.addr.cnt,655006
271,ETH,1621987200000,act.addr.cnt,687683
272,ETH,1622073600000,act.addr.cnt,723157
273,ETH,1622160000000,act.addr.cnt,646541
274,ETH,1622246400000,act.addr.cnt,798571
275,ETH,1622332800000,act.addr.cnt,736524
276,ETH,1622419200000,act.addr.cnt,736541
277,ETH,1622505600000,act.addr.cnt,680280
278,ETH,1622592000000,act.addr.cnt,650349
279,ETH,1622678400000,act.addr.cnt,687298
280,ETH,1622764800000,act.addr.cnt,713691
281,ETH,1622851200000,act.addr.cnt,829614
282,ETH,1622937600000,act.addr.cnt,809211
283,ETH,1623024000000,act.addr.cnt,657176
284,ETH,1623110400000,act.addr.cnt,616660
285,ETH,1623196800000,act.addr.cnt,627838
286,ETH,1623283200000,act.addr.cnt,656459
287,ETH,1623369600000,act.addr.cnt,614211
288,ETH,1623456000000,act.addr.cnt,692247
289,ETH,1623542400000,act.addr.cnt,673559
290,ETH,1623628800000,act.addr.cnt,633811
291,ETH,1623715200000,act.addr.cnt,626558
292,ETH,1623801600000,act.addr.cnt,589164
293,ETH,1623888000000,act.addr.cnt,585530
