,chain,total_relays,total_pokt,point,first_time,last_time
95,Ethereum Kovan,79861,710.7629,6,2021-12-06T00:02:48.117Z,0
96,Ethereum Ropsten,155009,1379.5801,6,2021-12-06T00:02:48.117Z,0
97,Solana Mainnet,352962,3141.3618,6,2021-12-06T00:02:48.117Z,0
98,Ethereum,33425744,297489.1216,6,2021-12-06T00:02:48.117Z,0
99,IoTeX Mainnet,166574,1482.5086,6,2021-12-06T00:02:48.117Z,0
100,FUSE Archival,132897,1182.7833,6,2021-12-06T00:02:48.117Z,0
101,FUSE Mainnet,4663278,41503.1742,6,2021-12-06T00:02:48.117Z,0
102,Polygon Archival,160012,1424.1068,6,2021-12-06T00:02:48.117Z,0
103,POKT Mainnet,102245,909.9805,6,2021-12-06T00:02:48.117Z,0
104,Ethereum Archival,119,1.0591,6,2021-12-06T00:02:48.117Z,0
105,ETH Archival Trace,997406,8876.9134,6,2021-12-06T00:02:48.117Z,0
106,Avalanche Mainnet,730311,6499.7679,6,2021-12-06T00:02:48.117Z,0
107,BSC Mainnet,170394,1516.5066,6,2021-12-06T00:02:48.117Z,0
108,Ethereum Rinkeby,412576,3671.9264,6,2021-12-06T00:02:48.117Z,0
109,xDAI,1561168,13894.395199999999,6,2021-12-06T00:02:48.117Z,0
110,Harmony Shard 0,97673521,869294.3369,6,2021-12-06T00:02:48.117Z,0
111,Ethereum Goerli,583889,5196.6121,6,2021-12-06T00:02:48.117Z,0
112,Polygon Mainnet,2636683,23466.4787,6,2021-12-06T00:02:48.117Z,0
113,xDAI Archival,113619,1011.2091,6,2021-12-06T00:02:48.117Z,0
114,xDAI,1154788,10277.6132,7,2021-12-07T00:05:43.695Z,0
115,Solana Mainnet,288515,2567.7835,7,2021-12-07T00:05:43.695Z,0
116,Ethereum Rinkeby,447834,3985.7226,7,2021-12-07T00:05:43.695Z,0
117,ETH Archival Trace,986242,8777.5538,7,2021-12-07T00:05:43.695Z,0
118,Polygon Mainnet,1330471,11841.1919,7,2021-12-07T00:05:43.695Z,0
119,Polygon Archival,187069,1664.9141,7,2021-12-07T00:05:43.695Z,0
120,Harmony Shard 0,119077841,1059792.7849,7,2021-12-07T00:05:43.695Z,0
121,Ethereum Kovan,103707,922.9923,7,2021-12-07T00:05:43.695Z,0
122,Ethereum Ropsten,162412,1445.4668,7,2021-12-07T00:05:43.695Z,0
123,Ethereum Goerli,566645,5043.1404999999995,7,2021-12-07T00:05:43.695Z,0
124,Avalanche Mainnet,570325,5075.8925,7,2021-12-07T00:05:43.695Z,0
125,BSC Mainnet,180002,1602.0178,7,2021-12-07T00:05:43.695Z,0
126,FUSE Mainnet,5163151,45952.0439,7,2021-12-07T00:05:43.695Z,0
127,POKT Mainnet,108031,961.4759,7,2021-12-07T00:05:43.695Z,0
128,Ethereum,35438332,315401.1548,7,2021-12-07T00:05:43.695Z,0
129,xDAI Archival,100543,894.8327,7,2021-12-07T00:05:43.695Z,0
130,IoTeX Mainnet,153364,1364.9396,7,2021-12-07T00:05:43.695Z,0
131,FUSE Archival,109662,975.9918,7,2021-12-07T00:05:43.695Z,0
132,Ethereum Archival,65,0.5785,7,2021-12-07T00:05:43.695Z,0
